Date,Hour,Rank,Topic,Volume
2019-01-03,14:02,9,Ed Burke,0
2019-01-03,14:02,10,#LTrainShutdown,0
2019-01-03,14:32,1,Nancy Pelosi,300.809
2019-01-03,14:32,2,#MCILIV,124.946
2019-01-03,14:32,3,Aguero,55.734
2019-01-03,14:32,4,Alexandria Ocasio-Cortez,24.314
2019-01-03,14:32,5,Jim Webb,0
2019-01-03,14:32,6,Paul Ryan,92.394
2019-01-03,14:32,7,Ed Burke,0
2019-01-03,14:32,8,#LTrainShutdown,0
2019-01-03,14:32,9,#ThursdayThoughts,103.305
2019-01-03,14:32,10,Firmino,36.704
2019-01-03,15:02,1,Liverpool,329.500
2019-01-03,15:02,2,Nancy Pelosi,311.980
2019-01-03,15:02,3,Aguero,62.409
2019-01-03,15:02,4,Alexandria Ocasio-Cortez,25.401
2019-01-03,15:02,5,Ed Burke,0
2019-01-03,15:02,6,Jim Webb,0
2019-01-03,15:02,7,Paul Ryan,97.118
2019-01-03,15:02,8,Sterling,40.206
2019-01-03,15:02,9,#LTrainShutdown,0
2019-01-03,15:02,10,Firmino,38.974
2019-01-03,15:32,1,Liverpool,382.792
2019-01-03,15:32,2,Nancy Pelosi,329.413
2019-01-03,15:32,3,#MCILIV,185.348
2019-01-03,15:32,4,Aguero,67.380
2019-01-03,15:32,5,Alexandria Ocasio-Cortez,28.336
2019-01-03,15:32,6,Ed Burke,0
2019-01-03,15:32,7,Jim Webb,0
2019-01-03,15:32,8,Paul Ryan,101.790
2019-01-03,15:32,9,Sterling,43.660
2019-01-03,15:32,10,#LTrainShutdown,0
2019-01-03,16:02,1,Liverpool,405.248
2019-01-03,16:02,2,Nancy Pelosi,336.164
2019-01-03,16:02,3,#MCILIV,193.821
2019-01-03,16:02,4,Alexandria Ocasio-Cortez,29.805
2019-01-03,16:02,5,Aguero,69.457
2019-01-03,16:02,6,Leroy Sane,0
2019-01-03,16:02,7,Ed Burke,0
2019-01-03,16:02,8,R Kelly,54.359
2019-01-03,16:02,9,Jim Webb,0
2019-01-03,16:02,10,#LTrainShutdown,0
2019-01-03,16:35,1,Liverpool,422.742
2019-01-03,16:35,2,#MCILIV,199.300
2019-01-03,16:35,3,Nancy Pelosi,352.311
2019-01-03,16:35,4,#SpeakerPelosi,59.901
2019-01-03,16:35,5,#FirstThingIDidIn2019,0
2019-01-03,16:35,6,Lovren,116.811
2019-01-03,16:35,7,Man City,104.827
2019-01-03,16:35,8,#YNWA,26.315
2019-01-03,16:35,9,#RecordBreakingPromise,52.072
2019-01-03,16:35,10,Herb Kelleher,0
2019-01-03,17:05,1,Liverpool,432.017
2019-01-03,17:05,2,#MCILIV,202.682
2019-01-03,17:05,3,#FirstThingIDidIn2019,0
2019-01-03,17:05,4,Herb Kelleher,0
2019-01-03,17:05,5,Alexandria Ocasio-Cortez,34.539
2019-01-03,17:05,6,#YouAndIWereLike,0
2019-01-03,17:05,7,#RecordBreakingPromise,62.200
2019-01-03,17:05,8,#YNWA,26.603
